2	header
addCalculation 2.0.3-2255-gc74ffae8	-l exp_depth/nm,exp_load/mN -f #depth/nm#-1.850671,#load/mN#-0.003249 loadDisp_c1r1_ht.txt
time/s	depth/nm	load/mN	exp_depth/nm	exp_load/mN
8.458614	298.696861	4.999561	296.84619000000004	4.996312
8.513545	300.193514	5.031907	298.342843	5.028658
8.570318	302.066309	5.065615	300.215638	5.062366
8.626485	305.368989	5.099372	303.518318	5.0961229999999995
8.682649	309.249307	5.133058	307.398636	5.129809
8.738752	311.130260	5.167615	309.27958900000004	5.164365999999999
8.791249	312.011358	5.198924	310.160687	5.195675
8.847624	313.532363	5.232076	311.681692	5.228827
8.901296	315.391608	5.265437	313.54093700000004	5.262188
8.954343	316.519183	5.297173	314.668512	5.293924
9.006371	318.208613	5.328140	316.35794200000004	5.324891
9.059677	319.965136	5.359685	318.114465	5.3564359999999995
9.117486	322.273651	5.393506	320.42298	5.390257
9.172513	324.749110	5.427638	322.898439	5.424389
9.229614	325.758949	5.460950	323.908278	5.457701
9.284209	327.691000	5.494870	325.840329	5.491620999999999
9.339607	330.149497	5.527174	328.298826	5.523924999999999
9.399376	332.477554	5.562365	330.626883	5.5591159999999995
9.455626	335.316208	5.597461	333.46553700000004	5.594212
9.512885	336.590177	5.630650	334.739506	5.627401
9.570146	338.512909	5.665200	336.662238	5.661950999999999
9.625756	339.411822	5.699607	337.561151	5.696358
9.680332	340.563967	5.731789	338.713296	5.72854
9.739551	342.202133	5.766412	340.351462	5.763163
9.794043	343.706395	5.800802	341.855724	5.797553
9.848359	345.659415	5.832848	343.80874400000005	5.829599
9.908648	347.381118	5.867546	345.53044700000004	5.864297
9.969260	348.454328	5.904274	346.603657	5.901025
10.027095	351.228389	5.939111	349.377718	5.935861999999999
10.086543	352.586058	5.974760	350.735387	5.971511
